Epoch,LR,Loss,Dice,Accuracy,Jaccard,Recall,F1
0,0.01,2.6254360221414004,0.1687834674455059,0.7358435202205884,0.5909733951692828,0.7358435202205884,0.7358435202205884
1,[0.01],2.040173497200012,0.2313856688246094,0.8073403284409475,0.6793572651765998,0.8073403284409475,0.8073403284409475
2,[0.01],1.5207093604873207,0.3142603910978223,0.8468532966164983,0.7360076940265239,0.8468532966164983,0.8468532966164983
3,[0.01],1.0339686967344845,0.4297977420219684,0.8829853156594677,0.7916850513783018,0.8829853156594677,0.8829853156594677
4,[0.01],0.7585054582006792,0.5298972206039116,0.9168321138269758,0.8472540649850392,0.9168321138269758,0.9168321138269758
